,province,Dry-bulb temperature,Wind speed,Wind direction,Global radiation,Atmospheric pressure,External relative humidity,CLOSE,OPEN,open rate,,latitude,longitude
cold,Beijing_Beijing,16.39594687,2.401648729,166.7863522,166.785945,101.1430433,56.17517747,2265,2102,0.481337302,,39.56,116.2
,Gansu_Lanzhou,13.8628578,0.946645294,152.4756125,166.0378848,84.79327456,55.05610259,2692,1675,0.383558507,,36.03,103.4
,Henan_Shangqiu,17.89592398,2.280970918,163.5225555,164.9545951,100.9034898,68.60361804,1923,2444,0.559651935,,34.45,115.65
,Henan_Xinyang,18.70547286,2.739638196,174.3505839,142.6145965,100.1278773,75.56926952,1684,2683,0.614380582,,31.48,114.04
,Liaoning_Dalian,14.96945271,4.913899702,196.5761392,162.8967071,100.1352759,60.15250744,2531,1836,0.420425922,,39.02,121.46
,Ningxia_Hui,10.1837417,2.854133272,185.8717655,164.0626529,82.54124571,63.3535608,3589,778,0.178154339,,36,106.28
,Shaanxi_Yanan,14.88784062,1.433707351,168.9102359,165.9313531,90.66844287,60.83993588,2609,1758,0.40256469,,36.6,109.48
,Shandong_Jinan,18.66533089,3.29814518,166.4071445,163.6659091,100.2402771,55.7929929,1742,2625,0.601099153,,36.67,117
,Shandong_Weifang,16.19585528,3.573620334,168.8094802,163.5593302,101.2549874,68.78291733,2275,2092,0.479047401,,36.7,119.11
,Shanxi_Yuanping,13.65985803,1.998397069,166.1476986,171.5194115,92.04699336,51.33638654,2719,1648,0.377375773,,38.73,112.7
,Shanxi_Yushe,12.98518434,1.787497138,132.0950309,172.6515471,89.80701168,57.43920311,3012,1355,0.310281658,,37.07,112.97
,Sichuan_Garze,8.688916877,1.789558049,127.6331578,195.0926006,67.56841539,60.75520953,3838,529,0.121135791,,31.64,99.96
,Sichuan_Jiulong,11.11481566,2.59674834,171.7971147,149.7706025,71.39416533,67.1023586,3805,562,0.128692466,,29,101.5
,Tianjin_Tianjin,17.14520266,2.276849095,173.0588505,167.3668974,101.4274559,60.7139913,2011,2356,0.539500801,,39.13,117.2
,Tibet_Nyingchi,10.98818411,1.841767804,163.0345775,207.4669569,70.96231967,69.08220747,3605,762,0.174490497,,29.59,94.25
,Tibet_Qamdo,9.922624227,1.013968399,158.2528051,192.0811855,68.20108083,56.52163957,3633,734,0.168078773,,31.13,97.18
,Xinjiang_Uygur,16.17629952,1.597893291,112.1028166,196.7555297,85.71918251,35.69384016,2248,2119,0.485230135,,37.07,82.63
,Xinjiang_Uygur,16.94515686,2.610029769,119.2603618,193.836194,91.24390657,34.39363407,2224,2143,0.490725899,,39,88.09
,Xinjiang_Uygur,16.38458896,1.386306389,159.5062972,186.2243098,87.54919166,48.93817266,2230,2137,0.489351958,,38.45,77.25
,Xinjiang_Uygur,20.68076483,0.854591253,151.8435997,177.4512098,100.8592329,37.50194642,1631,2736,0.62651706,,42.95,89.17
hot,Fujian_Congwu,14.77140226,6.16371172,87.70066774,116.5253046,101.6921299,75.86668202,3142,1201,0.276536956,,24.9,118.9
,Fujian_Shanghang,14.8833295,2.248906286,217.277458,98.42356159,99.6398158,76.26479392,3006,1337,0.307851715,,25.05,116.41
,Fujian_Xiamen,15.38537877,2.816716555,158.8176376,112.566583,100.252344,75.62122956,2986,1357,0.312456827,,24.48,118.08
,Guangdong_Dianbai,19.67978356,2.691457518,138.2466037,114.9262602,101.5033917,76.18719779,1487,2855,0.657531092,,21.5,111
,Guangdong_Guangzhou,17.41183514,1.740501957,162.9127331,103.771531,101.227884,74.84734055,2246,2097,0.482845959,,23.13,113.27
,Guangdong_Heyuan,16.91418374,1.426203085,161.7365876,105.7079505,101.414741,73.51370021,2276,2067,0.475938292,,23.73,114.7
,Guangdong_Shantou,17.23488372,2.433571264,98.19065162,120.6456763,101.7394036,75.07506332,2384,1959,0.451070688,,23.35,116.68
,Guangdong_Shanwei,18.02622611,2.680635505,155.9661524,119.5926723,101.6532673,75.36104076,2176,2167,0.49896385,,22.78,115.37
,Guangdong_Shaoguan,14.29106608,1.57402717,161.669353,93.92132904,101.2401036,77.08565508,3205,1138,0.262030854,,24.82,113.6
,Guangdong_Yangjiang,18.52889708,2.644715634,159.79277,110.0975107,101.3840755,75.16624453,1890,2453,0.564816947,,21.87,111.98
,Guangxi_Zhuang,17.6937831,1.406861616,161.5811651,108.1794333,99.6686507,75.60465116,2542,1801,0.414690306,,23.9,106.62
,Guangxi_Zhuang,12.74823854,2.972139074,74.45014967,78.388309,100.0183145,74.01588764,3564,779,0.1793691,,25.28,110.28
,Guangxi_Zhuang,16.9875662,1.18719779,165.9714483,90.38725789,101.2422312,79.81832834,2479,1863,0.429064947,,23.4,110.08
,Guangxi_Zhuang,17.98095786,1.234860695,157.8970758,96.26207691,100.153318,79.99838821,2140,2203,0.507253051,,22.35,106.85
,Guangxi_Zhuang,17.1317983,1.047662906,152.8731292,100.869609,100.455365,79.12157495,2139,2204,0.507483306,,22.82,108.37
,Guangxi_Zhuang,17.80939443,2.519686852,159.7913884,105.0495376,101.5757794,75.67188579,2332,2011,0.463043979,,21.95,108.62
,Guangxi_Zhuang,15.99797375,1.509785862,158.2811421,95.64896592,100.4327446,79.36587612,2550,1793,0.412848262,,23.48,111.27
,Hainan_Dongfang,21.96589915,4.188809579,99.50149666,144.5475399,101.4325858,77.55491596,668,3675,0.84618927,,19.1,108.63
,Hainan_Haikou,20.86428736,2.24660373,104.8413539,104.6737695,101.4055469,83.82845959,747,3596,0.827999079,,20.03,110.32
,Hainan_Qionghai,21.44001842,2.451991711,168.1006217,116.3113329,101.236735,86.12318674,909,3434,0.790697674,,19.25,110.47
hotcold,Anhui_Hefei,17.20968697,3.024111675,169.8009729,128.9016504,101.2242957,77.68739425,2286,2442,0.516497462,,31.83,117.25
